masterid,latitude,longitude,huc,county,psa_lu,comid,psa6c,regionalboardnumber,area_sqkm,new_lat,new_long,site_elev,elev_range,ppt_00_09,maxwd_ws,meanp_ws,minp_ws,sumave_p,xwd_ws,temp_00_09,tmax_ws,atmca,atmmg,atmso4,bdh_ave,kfct_ave,lprem_mean,prmh_ave,ucs_mean,cao_mean,mgo_mean,s_mean,p_mean,urban_2011_ws,urban_2011_5k,urban_2011_1k,ag_2011_ws,ag_2011_5k,ag_2011_1k,code_21_2011_ws,code_21_2011_5k,code_21_2011_1k,roaddens_ws,roaddens_5k,roaddens_1k,paved_int_ws,paved_int_5k,paved_int_1k,invdamdist,mines_5k,MaxW1_HALL,RefStatus
801CBN012,33.91909,-117.82201,801,Orange,Other,22525701,SC,8,34.207,33.9194284,-117.82002,150,363,32850.5,5.8476,513.6282,0,487.5111,31.7143,2541,321.4634,0.0528,0.0317,0.383,1.501,0.295,-0.7664,1.27,66.4591,17.1852,6.1787,1.2492,0.1106,4.283647,2.225462,1,0,0,0,12.17208,7.147716,10.83827,2.565685,2.64854,3.156971,55,30,1,0,0,-Inf,Non-reference
517STC321,39.7081,-120.9279,517,Sierra,Forest,8059503,SN,5,47.4633,39.70808047,-120.9278553,1387,958,184862,12.35664336,2015.247706,7.52727273,4495.050407,86.7972028,1698,263.6181818,0.04525743,0.02516581,0.21327074,1.00922244,0.16030569,-0.67066106,6.04520796,119.5917226,5.94399509,7.03896592,0.03754856,0.2022107,0.11756452,0.16670069,0,0,0,0,0,0,0,0.65322908,0.5583556,0,11,6,0,0,7,-Inf,Non-reference
507CCCMxx,40.72917,-122.07583,507,Shasta,Forest,2763382,CH,5,166.3434,40.72914163,-122.0757624,336,1741,112398,13.75976563,1551.931398,5.465,4592.732323,91.69140625,2402,322.6,0.03253728,0.01362445,0.14764418,1.31472971,0.1786336,-0.61668347,2.2443688,115.0447604,6.6416363,3.42165132,0.06527156,0.2258261,0.13526236,0.35850748,1,0,0,0,0,0,0,3.05356949,2.10191701,1.80595657,37,7,0,0,2,-Inf,Non-reference
907M23327,32.8378,-116.78974,907,San Diego,Other,20334438,SC,9,5.9913,32.83892266,-116.78961668,460,325,33214.1992188,8,498.84615385,2.60097408,1292.12381417,45.4,2542,325.375,0.09976915,0.03137489,0.43622485,1.59109161,0.24082827,-2.31582969,5.15899992,149.58782791,4.9030046,3.625,0.03025328,0.16269518,24.86104852,24.86104852,16,0,0,0,28.8718642,28.8718642,37.5,6.72401756,6.72401756,5.43500682,17,17,3,0,0,-Inf,Non-reference
911M24949,32.80946,-116.43979,911,San Diego,Other,20325047,SC,9,3.50133148,32.8093902,-116.4399296,1515,353,53131.69922,8.90909091,805.4444444,2.09433889,4076.75,52.27272727,2037,286.5,0.11475371,0.03189319,0.45353815,1.58899999,0.176,-3.41907501,11.125,140.6431732,4.62259913,5,0.021585,0.16207101,0,0,0,0,0,0,1.85185185,1.85185185,0,0.99905965,0.99905965,0,0,0,0,0,0,0,Reference
507BCSFBM,40.4791,-121.595,507,Shasta,Forest,2765948,SN,5,9.464641,40.4787892,-121.59669,1899,902,187464.7,18.8929,2024.091,12.4545,9356.566,143.0357,1298,221.5455,0.036,0.0186,0.1721,1.147,0.1341,-0.3429,5.8995,135.5864,6.59,3.8312,0.0181,0.2769,0,0,0,0,0,0,0,0,0,0.4182742,0.4183876,2.088801,0,0,0,0,0,0,Non-reference
911S01818,32.86215,-116.52037,911,San Diego,Other,20325007,SC,9,31.07897,32.8616556,-116.52029,1134,644,53969.5,8.2474,791.6714,5.3333,3465.105,50.3196,2030,292.5641,0.1089,0.0316,0.4468,1.5153,0.2106,-1.6519,6.4518,144.9487,4.0202,2.5477,0.0344,0.1482,0.3474736,0.05644403,0,0,0,0,3.083828,2.370649,5.153782,0.5964784,0.2442075,0.7473843,5,1,1,0,4,0.66,Non-reference
113MLCTMR,39.54722,-123.72528,113,Mendocino,Other,2662279,NC,1,6.4278,39.54739865,-123.7251363,8,496,114060.7031,16,1323.8,4,2258.783325,109.2631579,1678,239,0.03377534,0.03591074,0.21049559,1.42700005,0.219,-0.68403173,2.3829999,81.15462494,3.1325531,1.97752297,0.049684,0.14099699,0.04200504,0.04200504,0,0,0,0,0,0,0,5.15933055,5.15933055,4.15219005,5,5,1,0,0,-Inf,Non-reference
205R01091,37.3575,-121.9732,205,Santa Clara,Other,948050173,CH,2,44.13,37.3575,-121.9732,19,961,37182.69922,9.130769,855.9898,1.245283,681,54.88462,2155,276.5472,0.04474192,0.03899999,0.2634143,1.46,0.26,0.53,2.44,59.86455,7.28,3.37,0.43,0.14,38.5693,94.96793,98,0,0,0,10.33259,4.918033,2.384738,7.48831336,12.70387263,14.41705037,63,14,3,0,0,-Inf,Non-reference
514SSC190,38.81763,-120.44086,514,El Dorado,Other,14982152,SN,5,101.1646,38.81763335,-120.4408652,1439,1598,128097.4,13.0032,1390.38,9.07377,4227.48,84.0518,1853,249.057,0.056932,0.017706,0.229332,1.4401,0.140921,-1.37246,7.67229,102.943,3.22396,1.59618,0.026753,0.149007,0.06405181,0.1671442,0,0,0,0,0.7517192,1.563992,0,1.703248,3.294246,10.485900000000001,6,1,0,0,0,-Inf,Non-reference
801STC149,33.76593,-117.67927,801,Orange,Other,22561184,SC,8,115.7834,33.7673956,-117.67985,269,1463,34388.3,7.2486,580.5399,1.0216,984.4274,41.0028,2536,319.8058,0.0557,0.0316,0.3866,1.5466,0.2964,-1.0889,3.0873,109.4558,6.504,3.4042,0.3019,0.1378,0.6030885,1.604481,0,0,0,0,3.833809,6.874373,2.020754,1.151063,2.270606,1.566344,56,15,2,0,1,0.14,Non-reference
408ACCR3x,34.22722,-118.93194,408,Ventura,Ag,948070330,SC,4,118.2015,34.22810045,-118.9331961,67,643,36119.69922,4.60773481,409.3656716,4.52356637,247.497517,28.14917127,2390,307.5390071,0.05752707,0.03018422,0.37316693,1.5594342,0.24430828,-0.16223041,3.2145819,73.78463502,10.39260811,0,0.55101702,0.18801843,43.88852933,40.10241163,2,0,0,3,17.28023756,15.32540469,14.40291705,1.42231007,6.16164865,2.55237279,446,48,0,0,0,-Inf,Non-reference
532CRNFSC,38.65306,-120.63111,532,El Dorado,Forest,20195032,SN,5,202.3245,38.65278727,-120.6307205,616,1740,103112,11.51294498,1255.272331,5.33469388,2924.266988,77.48543689,2141,304.1020408,0.05229034,0.02345296,0.24116486,1.23519457,0.19674631,-1.18829201,4.00339266,128.5274532,5.08560914,2.41001617,0.03301403,0.1792293,0.10942817,0.02282844,0,0,0,0,0,0,0,1.15486199,1.42505399,2.24176904,63,12,3,0,0,-Inf,Non-reference
207KIR115,37.99101,-121.89457,207,Contra Costa,Urban,2790277,CH,2,14.45367222,37.99076,-121.89455,66,508,42852.5,9,546.2222333,0,392.8275,52.82203333,2279,309.2222,0.05103333,0.05103333,0.32913333,1.37596667,0.26183333,-0.7464,0.558,69.09563333,6.5182,2.83216667,0.8606,0.12696667,1.13990283,1.18400621,5,0,0,0,4.14226984,4.30253623,12.7027027,1.71897845,1.645952,2.48886835,4,4,3,0,1,-Inf,Non-reference
R-4,34.13772,-118.16522,412,Los Angeles,Other,22515822,SC,4,94.968,34.13690515,-118.16768,208,1659,45345.89844,6.16151203,684.6774194,1.58870343,908.6971617,34.87972509,2543,313.6578947,0.05291822,0.03168619,0.38249906,1.59329685,0.26790737,-0.87747834,3.29202537,115.1735944,3.50317927,0.15789474,0.05645308,0.15075951,17.73692191,44.93722485,26,0,0,0,17.3085671,39.90706017,53.90070922,3.98472031,10.50910843,9.94068735,62,8,1,0,0,-Inf,Non-reference
207MTD060,37.94405,-121.93749,207,Contra Costa,Other,2790329,CH,2,41.11964233,37.944153,-121.93735,113,1056,49085.80078,8.57083333,573.8259,0.2786,423.962,53.98116667,2212,303.9528,0.0506,0.0506,0.32476667,1.5013,0.2957,0.1363,1.53656667,70.17666667,8.11303333,4.86826667,0.2159,0.14276667,8.49862078,12.30700807,58,0,0,0,5.70953194,7.67520173,19.59972395,2.70432812,3.26462929,11.62762898,44,42,18,0,2,-Inf,Non-reference
905DGUT1x,33.17601,-116.85052,905,San Diego,Other,20329534,SC,9,22.02557,33.1767768,-116.85011,333,947,39363,7.0137,654.2653,3.9259,2072.436,42.9726,2526,330.6667,0.0879,0.0308,0.4254,1.519,0.228,-3.0335,4.5209,146.485,4.9059,2.3912,0.0253,0.1648,0.00408463,0.00794597,0,0,0,0,0.9394657,0.7151371,0,0.1310138,0,0,0,0,0,0,0,1.64,Non-reference
906DCCDC1,32.94994,-117.19289,906,San Diego,Other,20331158,SC,9,6.6699,32.94981561,-117.1924651,39,156,25156.2,6.14285714,320.3846154,0,431.4142805,36.71428571,2161,270.2,0.08333138,0.03104379,0.41771469,1.5706066,0.22923264,1.37455036,6.69865379,21.40015875,1.82239725,1.09556706,0.27747021,0.12535638,25.50263122,22.81144781,20,0,0,0,0.32384294,0,0,4.41496307,3.93921408,0.98870171,16,10,0,0,0,-Inf,Non-reference
507DCABSF,40.44283,-121.72449,507,Shasta,Forest,2766674,SN,5,24.95696,40.44288699,-121.7245803,1126,1671,110781.2,15.5263,1620.16,7.71429,6663.75,111.987,1824,253.536,0.035849,0.018985,0.172908,1.13607,0.14459,-0.378076,4.51797,128.513,6.26247,3.65947,0.018207,0.268504,0,0,0,0,0,0,0,0,0,2.298404,5.446164,4.038393,1,1,0,0,0,-Inf,Non-reference
SMC00446,34.02018,-118.04627,405,Los Angeles,Other,22521007,SC,4,3.8169,34.0201858,-118.04625,63,287,34453,6,406.4445,0,446.1333,31.6667,2510,325.75,0.0528,0.0317,0.3828,1.5232,0.2904,0.1973,4.125,44.898,11.8841,4.4166,0.8638,0.1154,65.4091,65.4091,85,0,0,0,26.69182,25.15916,12.77034,9.568765,9.568765,7.599389,5,5,2,0,1,2.13,Non-reference
206PET070,38.1984,-122.70437,206,Sonoma,Other,1669491,CH,2,20.04167832,38.1982318,-122.70439,62,307,76082.89844,11.0317,1002.9583,1,801.0552667,69.9524,2107,270.75,0.04336667,0.04876667,0.28133333,1.47936667,0.281,-0.26243333,1.05563333,128.4470333,4.7638,4.59726667,0.04373333,0.0508,0.09436506,0.09436506,0,1,1,0,2.13444774,2.13444774,6.51685393,0.77185976,0.77185976,2.05377062,7,7,2,0,0,-Inf,Non-reference
403WE0682,34.57066,-118.38974,403,Los Angeles,Other,17569981,SC,4,38.040638,34.5704221,-118.39079,845,671,41840.39844,5.5345,465.9419,0.617,612.8856,33,2266,309.6808,0.0554,0.0308,0.3772,1.5773,0.2224,-1.4196,4.8225,112.0972,5.6601,4.3241,0.0751,0.1609,0.12297214,0.10709406,0,0,0,0,5.14118148,6.24099856,6.49284254,0.27104262,0.41159009,0.85496928,1,1,1,0,0,-Inf,Non-reference
