masterid,sampledate,XSLOPE,PCT_FN,PCT_HP
105DLCDCC,2009-05-19T07:00:00Z,NA,0,0
105DLCDCC,2009-06-23T07:00:00Z,NA,0,0
105DLCDCC,2009-08-05T07:00:00Z,1.6,0,0
105DLCDCC,2009-09-15T07:00:00Z,NA,0,0
105DLCDCC,2009-10-20T07:00:00Z,NA,1,0
105PS0028,2008-08-12T07:00:00Z,0.7,0,19
105PS0028,2008-08-26T07:00:00Z,0.5,20,0
105PS0043,2008-09-17T07:00:00Z,4.1,0,0
105PS0067,2009-08-24T07:00:00Z,3,0,0
105PS0067,2009-09-15T07:00:00Z,4.5,0,0
105PS0069,2009-08-18T07:00:00Z,2.5,0,0
105PS0083,2009-09-08T07:00:00Z,22.3,0,0
105PS0090,2009-08-25T07:00:00Z,2.2,0,0
105PS0092,2008-08-11T07:00:00Z,1.8,6,0
105PS0097,2009-09-08T07:00:00Z,2.3,1,0
105PS0107,2009-09-14T07:00:00Z,1.4,3,0
105PS0188,2008-08-26T07:00:00Z,3.1,4,0
105PS0276,2009-09-01T07:00:00Z,0.2,30,15
105PS0276,2009-09-22T07:00:00Z,2.8,30,26
105PS0468,2009-09-01T07:00:00Z,0.7,29,2
106MNCAHC,2008-10-01T07:00:00Z,NA,2,0
106PS0022,2008-09-30T07:00:00Z,NA,0,0
106PS0051,2008-09-16T07:00:00Z,3.2,0,0
106PS0078,2009-08-26T07:00:00Z,2.5,2,10
106PS0106,2009-09-08T07:00:00Z,1.5,1,0
106PTCAHC,2008-09-02T07:00:00Z,4,0,0
106WER016,2009-05-18T07:00:00Z,NA,1,0
106WER016,2009-06-22T07:00:00Z,NA,0,0
106WER016,2009-08-04T07:00:00Z,4.5,0,4
106WER016,2009-09-16T07:00:00Z,NA,0,4
106WER016,2009-10-20T07:00:00Z,NA,2,2
107PS0021,2008-09-03T07:00:00Z,2.6,0,0
111BBRBCC,2009-09-23T07:00:00Z,2.1,1,0
111BGCAER,2009-10-06T07:00:00Z,3.2,1,0
111PS0008,2008-09-09T07:00:00Z,0,0,0
111PS0008,2008-09-29T07:00:00Z,0,0,0
111PS0013,2008-08-19T07:00:00Z,4.3,0,0
111PS0057,2008-08-18T07:00:00Z,2.2,14,1
111PS0060,2008-10-07T07:00:00Z,3.3,0,0
111PS0095,2009-08-27T07:00:00Z,1.3,0,0
111PS0110,2009-06-24T07:00:00Z,2.2,0,0
