,SampleID2,SampleID,StationCode,SampleDate,Replicate,SampleType,D_ValveCount,S_EntityCount,S_Biovolume,D_NumberTaxa,S_NumberTaxa,H_NumberTaxa,UnrecognizedTaxa,D_ASCI,S_ASCI,H_ASCI,Comments,version_number,RefCalVal,SiteSetSample2
1,102PS0139_08/09/10_1,102PS0139_8/9/10_1,102PS0139,8/9/2010,1,"Microalgae, Integrated",600,0,3751202.4,15,7,22,NA,0.902007212,0.869995431,0.946078761,,2.5.2,,Intermediate
2,102PS0177_08/28/12_1,102PS0177_8/28/12_1,102PS0177,8/28/2012,1,"Microalgae, Macroalgae, Integrated",600,0,5.33E+11,12,8,20,NA,1.130820339,1.293133893,1.229548559,,2.5.2,Cal,Reference
3,102PS0177_08/28/12_2,102PS0177_8/28/12_2,102PS0177,8/28/2012,2,"Microalgae, Macroalgae, Integrated",600,0,1040696632,13,9,22,NA,1.134817201,1.254007053,1.18275167,,2.5.2,,Reference
4,103CDCHHR_09/14/10_1,103CDCHHR_9/14/10_1,103CDCHHR,9/14/2010,1,"Microalgae, Integrated",600,0,45958.58,21,2,23,NA,0.754046832,0.308035174,0.7314594,,2.5.2,Cal,Reference
5,103CDCHHR_09/14/10_2,103CDCHHR_9/14/10_2,103CDCHHR,9/14/2010,2,"Microalgae, Integrated",600,0,41055.21,25,2,27,NA,0.823877021,0.308035174,0.807286178,,2.5.2,,Reference
6,103FC1106_07/15/14_1,103FC1106_7/15/14_1,103FC1106,7/15/2014,1,"Microalgae, Integrated",600,0,1824927.95,19,9,28,NA,0.780293373,0.807873143,0.857186281,,2.5.2,,NA
7,103FCA168_07/24/13_1,103FCA168_7/24/13_1,103FCA168,7/24/2013,1,"Microalgae, Integrated",600,0,264097.6965,23,5,28,NA,0.774127197,0,0.797074201,,2.5.2,,Intermediate
8,103KLCMSR_09/14/10_1,103KLCMSR_9/14/10_1,103KLCMSR,9/14/2010,1,"Microalgae, Integrated",600,0,1170762939,12,6,18,NA,1.012086996,1.146171331,1.078101484,,2.5.2,Cal,Reference
9,103PS0217_09/10/13_1,103PS0217_9/10/13_1,103PS0217,9/10/2013,1,"Microalgae, Integrated",600,0,1700347.55,23,6,29,NA,1.018314154,0.704335997,0.96344005,,2.5.2,,Intermediate
10,103RDCBCC_07/21/11_1,103RDCBCC_7/21/11_1,103RDCBCC,7/21/2011,1,"Microalgae, Integrated",615,0,2278450.914,11,10,21,NA,0.787233778,0.986300543,0.88848483,,2.5.2,,Intermediate
11,103STCNSR_08/09/11_1,103STCNSR_8/9/11_1,103STCNSR,8/9/2011,1,Integrated,613,0,0,10,0,10,NA,1.091121451,NA,NA,Warning - Only Diatom data present,2.5.2,Val,Reference
12,103WER026_08/15/12_1,103WER026_8/15/12_1,103WER026,8/15/2012,1,"Microalgae, Integrated",600,0,9592825.789,19,20,39,NA,1.211812854,1.284419345,1.225239867,,2.5.2,Cal,Reference
13,103WER026_08/15/12_2,103WER026_8/15/12_2,103WER026,8/15/2012,2,"Microalgae, Macroalgae, Integrated",600,0,44230420.13,22,23,45,NA,1.099140955,1.300010112,1.133820459,,2.5.2,,Reference
14,103WER029_07/16/14_1,103WER029_7/16/14_1,103WER029,7/16/2014,1,"Integrated, Microalgae, Epiphyte, Macroalgae",600,18,11790008.67,24,14,38,NA,1.047614271,1.07174202,1.047662901,,2.5.2,Val,Reference
