masterid,latitude,longitude,huc,county,psa_lu,comid,psa6c,regionalboardnumber,area_sqkm,new_lat,new_long,site_elev,elev_range,ppt_00_09,maxwd_ws,meanp_ws,minp_ws,sumave_p,xwd_ws,temp_00_09,tmax_ws,atmca,atmmg,atmso4,bdh_ave,kfct_ave,lprem_mean,prmh_ave,ucs_mean,cao_mean,mgo_mean,s_mean,p_mean,urban_2011_ws,urban_2011_5k,urban_2011_1k,ag_2011_ws,ag_2011_5k,ag_2011_1k,code_21_2011_ws,code_21_2011_5k,code_21_2011_1k,roaddens_ws,roaddens_5k,roaddens_1k,paved_int_ws,paved_int_5k,paved_int_1k,invdamdist,mines_5k,MaxW1_HALL,RefStatus,StudyArea
514ICE001,38.818795,-120.365196,514,NA,Forest,14981972,SN,5,71.496,38.8188,-120.3652,1616,1421,122269.1,13.2636,1370.793,10.1395,4028.538,86.5227,1814.3,235.7558,0.0563,0.01813333,0.2290333,1.4637,0.1623667,-1.625033,7.743833,132.4227,3.4384,1.633267,0.025233330000000002,0.1448333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4989113,0.967048,2.267588,4,0,0,1.74072,0,NA,Non-reference,NOT STUDY AREA
514UNI001,38.85194,-120.45944,514,NA,Forest,14981742,SN,5,368.1612,38.85213,-120.4571,1350,1687,128097.4,12.6508,1415.747,8.4104,3491.375,83.7533,1853.2,255.9819,0.05396667,0.02043333,0.2289667,1.463433,0.1496667,-1.1628,4.367167,130.0742,4.9658,2.140667,0.04213333,0.1359667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7584379,1.564557,1.339044,42,6,0,2.690142,0,NA,Non-reference,NOT STUDY AREA
518GZC001,39.89124,-121.29436,518,NA,Forest,2775564,SN,5,38.2635,39.89128,-121.2941,1301,635,179188.6,14.3565,2395.823,7.6087,4382.485,97.913,1733.4,268.1956,0.04183333,0.0272,0.2129667,1.4607,0.1725667,-1.283367,7.016767,142.8928,4.839267,5.821833,0.0394,0.1795333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5056036,0.5177521,0.4464991,4,0,0,1.885964,0,NA,Non-reference,NOT STUDY AREA
536CHR002,37.96822,-119.91395,536,NA,Other,17081431,SN,5,305.1612,37.9677,-119.9174,1343,1917,113462.4,12.4937,1382.82,11.0759,3000.917,81.5252,1892.3,222.212,0.03816667,0.01043333,0.1913667,1.428567,0.196,-1.6414,7.985033,142.5225,3.787833,1.7904,0.02563333,0.1553,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1240401,1.422323,3.284376,7,6,2,0.8641065,0,NA,Non-reference,NOT STUDY AREA
536CHR003,37.96524,-119.91843,536,NA,Other,17081431,SN,5,305.1612,37.9677,-119.9174,1343,1917,113462.4,12.4937,1382.82,11.0759,3000.917,81.5252,1892.3,222.212,0.03816667,0.01043333,0.1913667,1.428567,0.196,-1.6414,7.985033,142.5225,3.787833,1.7904,0.02563333,0.1553,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1240401,1.422323,3.284376,7,6,2,0.8641065,0,NA,Non-reference,NOT STUDY AREA
538CE0622,37.4636,-119.9499,538,NA,Other,17099613,CH,5,44.57531,37.46425,-119.9502,541.05,686.95,64957.4,7.2044,867.4059,0,987.5682,47.1679,2264.2,341.7778,0.0362,0.0115,0.1899,1.4967,0.2573,-0.7553,1.8108,132.6348,5.5104,9.0813,0.049,0.2234,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.466012,2.691484,3.854603,34,12,3,0.2617801,4,1.14,Non-reference,NOT STUDY AREA
631PS0081,38.3279,-119.5508,631,NA,Other,10744570,SN,6,189.9496,38.32796,-119.5508,2173,1368,58129.7,11.7,1259.446,20.2412,5329.794,88.535,1370.1,195.8202,0.05773333,0.01106667,0.2292667,1.2709,0.1166,-1.2864,12.05397,130.541,4.453433,2.280867,0.0247,0.1970667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1650349,0.6458804,2.114784,11,5,0,0,0,0.16,Non-reference,NOT STUDY AREA
631PS0087,38.5236,-119.3363,631,NA,Other,10742726,SN,6,40.12879,38.5236,-119.3363,2426,1123,51985.1,11,714.5761,18.449,4987.645,73.6094,1236.3,207.6531,0.07746667,0.0112,0.2680667,1.525367,0.1154667,1.060267,5.0798,53.6298,3.025,1.789,0.0791,0.1667333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.198709,0.01895259,0,0,0,0,0,0,1.81,Non-reference,NOT STUDY AREA
636LTRABR,39.43017,-120.08369,636,NA,Other,8933494,SN,6,377.4924,39.43574,-120.0844,1713,1071,46537.1,11.1454,1026.954,11.7516,3703.067,81.2139,1646,247.6505,0.055,0.0152,0.2048333,1.342033,0.2069333,-0.0405,3.605433,100.6152,5.206967,3.085333,0.0361,0.2321,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6977962,0.9635258,1.550826,34,3,1,0.2414545,0,NA,Non-reference,NOT STUDY AREA
636PS0086,39.4673,-120.1031,636,NA,Other,8933252,SN,6,360.43,39.46729,-120.1031,1742,1042,58181,11.2661,1039.444,11.7972,3691.096,81.948,1603.1,246.6175,0.0547,0.01543333,0.2047,1.374467,0.1958,-0.3057,3.75,112.0464,5.5733,3.282467,0.02803333,0.1959333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6901162,0.5227875,1.087435,30,4,0,3.316466,0,0.16,Non-reference,NOT STUDY AREA
