masterid,latitude,longitude,huc,county,psa_lu,comid,psa6c,regionalboardnumber,area_sqkm,new_lat,new_long,site_elev,elev_range,ppt_00_09,maxwd_ws,meanp_ws,minp_ws,sumave_p,xwd_ws,temp_00_09,tmax_ws,atmca,atmmg,atmso4,bdh_ave,kfct_ave,lprem_mean,prmh_ave,ucs_mean,cao_mean,mgo_mean,s_mean,p_mean,urban_2011_ws,urban_2011_5k,urban_2011_1k,ag_2011_ws,ag_2011_5k,ag_2011_1k,code_21_2011_ws,code_21_2011_5k,code_21_2011_1k,roaddens_ws,roaddens_5k,roaddens_1k,paved_int_ws,paved_int_5k,paved_int_1k,invdamdist,mines_5k,MaxW1_HALL,RefStatus
519ALCAFB,38.6375,-121.19852,519,Sacramento,Urban,15022637,CV,5,28.1952,38.63761946,-121.1985622,46,206,50757.6,8.43820225,643.9848485,0.88888889,716.0255554,53.69662921,2397,344.7777778,0.05188004,0.05322929,0.32521587,1.52629447,0.28512869,-0.61726316,1.90804876,109.1546528,3.94888379,2.76247152,0.05561949,0.19651498,21.08656793,20.17048482,11,0,0,0,0.00638407,0,0,4.58619656,4.74790846,2.31852787,90,24,1,0,1,-Inf,Non-reference
504TMCTVR,39.979730000000004,-122.0681,504,Tehama,Ag,12070994,CV,5,160.994,39.9798781,-122.06812,63,1198,55526.2,10.7392,1056.003,2.7409,2363.46,73.152,2418,337.3523,0.0369,0.0265,0.1989,1.515,0.2097,-0.8467,3.0949,80.1992,4.9011,2.5082,0.0286,0.2177,0.06093607,0.09628203,0,0,2,26,0.5076142,0.7554436,4.712535,0.523544,0.570668,1.280804,11,3,3,0,0,-Inf,Non-reference
519MNRASR,38.75896,-121.25594,519,Placer,Other,948021139,CV,5,50.76802,38.7589175,-121.25675,52,254,50998.4,8.9551,666.5,1.9375,768.076,55.9167,2403,345.9688,0.0514,0.0525,0.3208,1.6458,0.207,-1.5982,5.6955,142.6464,3.9044,1.7965,0.0296,0.1702,14.03456,43.24835,62,4,1,0,17.47098,25.93642,37.70385,4.906286,7.419706,9.86771,96,43,8,0,0,1.2,Non-reference
504MLCH99,40.04388,-122.09861,504,Tehama,Ag,12068342,CV,5,343.772,40.0443311,-122.09899,74,3076,57029.7,12.5469,1420.107,5.132,4203.238,87.2188,2417,300.3221,0.0369,0.0227,0.1871,1.4198,0.1945,-0.6552,4.3444,104.0823,6.0041,3.3154,0.0345,0.256,0.1924235,2.448211,11,0,31,28,1.284918,4.369115,9.902913,0.6522094,2.360154,4.316822,24,1,1,0,0,-Inf,Non-reference
504FC1115,39.98053,-121.97234,504,Tehama,Other,12075424,CV,5,546.792,39.98053642,-121.9723424,111,2283,68279.2,12.5573,1501.97,5.02901,3923.04,88.2932,2370,289.056,0.037816,0.023412,0.191783,1.31196,0.179312,-0.580078,3.84001,111.837,6.1017,3.47106,0.024278,0.263132,0.07785419,0.567833,2,0,0,0,1.21176,3.29957,4.84115,1.682639,2.032192,9.982797,33,1,1,0,0,-Inf,Non-reference
541OSCHW5,37.32936,-121.10955,541,Stanislaus,Other,2828012,CV,5,353.3707,37.3295751,-121.11028,54,1103,26587,7.56,446.936,0,263.2879,44.5179,2492,332.9654,0.04213333,0.02806667,0.2352,1.544833,0.2790333,0.8238,1.981633,33.88323,5.597667,3.150867,0.3203,0.1026,0.04303627,0.9656427,2,0,5,61,0.419158,2.169197,7.231405,0.5251716,0.63205,2.525257,151,8,4,0,1,-Inf,Non-reference
519ARH193,38.89112,-121.2828,519,Placer,Forest,948021154,CH,5,86.41933,38.8913409,-121.2826,50,464,50732.3,8.7707,761.6884,2.4141,988.6556,57.0414,2423,343.7374,0.0504,0.0497,0.3089,1.6036,0.2367,-1.3486,4.4236,142.1254,4.5362,2.4054,0.0314,0.1926,13.77317,2.46073,13,7,17,5,8.328906,8.577709,17.61905,4.40222,2.298306,4.759887,209,22,4,0,3,-Inf,Non-reference
520CMCFSL,39.70729,-121.78534,520,Butte,Ag,1678523,CH,5,10.85338,39.706642,-121.7863,68,377,68999.9,8.9722,900.2083,0,1786.631,56.3611,2385,351.5385,0.0405,0.0343,0.231,1.546,0.2157,-0.4253,3.8364,67.7439,4.7141,2.5704,0.0308,0.2206,1.321256,2.97976,10,5,12,76,0.7395712,1.705397,1.708279,0.7316121,1.202781,2.427322,5,5,2,0,1,-Inf,Non-reference
515DCBAFB,39.08955,-121.35642,515,Yuba,Other,15069250,CH,5,213.1946,39.0898079,-121.35625,44,756,53237.4,9.9444,892.8066,1.4,1412.934,61.2222,2403,340.1,0.048,0.0446,0.2846,1.54,0.2851,-1.1308,2.7864,144.1361,5.3126,3.1723,0.0284,0.2286,0.3702203,4.970422,2,0,0,1,2.263536,8.577675,6.803939,1.904107,2.388022,1.981587,148,11,0,0,0,-Inf,Non-reference
504DCFRxx,40.10556,-122.03797,504,Tehama,Other,12068226,CH,5,69.166163,40.1050351,-122.03923,116,646,72479.89844,10.3615,941.4039,2.9425,2277.5811,70.6526,2363,339.0805,0.0364,0.0257,0.1943,1.5501,0.206,-0.8892,4,79.7478,5.2999,2.8648,0.0162,0.2444,0,0,0,0,0,0,0.10411109,0.18794275,0,1.3013718,0.80878706,0,5,0,0,0,0,-Inf,Reference
