masterid,stationcode,latitude,longitude
000CAT148,000CAT148,39.07525,-119.89953
000CAT228,000CAT228,39.07317,-119.92006
000NONPJ,000NONPJ,-88,-88
101WE1111,101WE1111,41.99178,-124.18097
102ELCABC,102ELCABC,41.967803,-123.698208
102PS0139,102PS0139,41.99596,-122.95979
102PS0177,102PS0177,41.92939,-123.57254
102PS0331,102PS0331,41.98886093,-123.1642933
103CDCHHR,103CDCHHR,41.78887,-124.07766
103FC1106,103FC1106,41.93373,-124.1084
103FCA168,103FCA168,41.65021,-124.09143
103FS0411,R5BIO-411,41.532071,-123.8286917
103KLCMSR,103KLCMSR,41.85532,-123.85239
103PS0217,103PS0217,41.68708,-124.08349
103PS0281,103PS0281,41.95480321,-123.9126482
103PS0345,103PS0345,41.72442835,-123.8935529
103RDCBCC,103RDCBCC,41.9548,-124.06245
103STCNSR,103STCNSR,41.8621,-123.96064
103WE0585,103WE0585,41.85242,-123.89641
103WE0817,103WE0817,41.82633,-124.11418
103WE1072,103WE1072,41.84402,-124.00182
103WER026,103WER026,41.84611,-124.0275
103WER029,103WER029,41.80827,-124.11215
103WER030,103WER030,41.85675,-123.91167
105BNGABS,105BNGABS,41.4782,-123.5575
105BVCAGC,105BVCAGC,41.61201,-123.29221
105CE0029,105CE0029,41.66083,-122.49833
105CE0073,105CE0073,41.42694,-122.39555
105CE0141,105CE0141,41.89194,-122.48694
105CE0149,105CE0149,41.48333,-123.74194
105CE0173,105CE0173,41.73972,-122.62972
105CE0205,105CE0205,41.70111,-122.6425
105CE0269,105CE0269,41.78232,-122.47448
105CE0329,105CE0329,41.3075,-123.03361
105CE0381,105CE0381,41.71694,-122.35111
105CE0489,105CE0489,41.47694,-122.84972
105CE0525,105CE0525,41.73671,-122.55309
105CE0557,105CE0557,41.53945,-122.84279
105CE0685,105CE0685,41.77138,-122.605
105CE0765,105CE0765,41.46138,-122.43888
105CLCATC,105CLCATC,41.7349,-123.54822
105CR0901,105CR0901,41.3226,-123.5227
105CR0906,105CR0906,41.5481,-123.5254
105CR0908,105CR0908,41.4462,-123.9333
105CR0913,105CR0913,41.844,-122.8934
105CR1004,105CR1004,41.2755,-123.6008
105DLCDCC,105DLCDCC,41.57269,-123.54353
105FC1116,105FC1116,41.91258,-120.92125
105FC1120,105FC1120,41.55364,-121.92469
105FC1297,105FC1297,41.3286,-123.41992
105FCA002,105FCA002,41.31852852,-123.5279598
105FCA010,105FCA010,42.001220000000004,-122.76609
105FCA013,105FCA013,41.53926057,-123.5267321
105FCA014,105FCA014,41.45639606,-123.9355648
105FCA020,105FCA020,41.31853,-123.52796
105FCA034,105FCA034,41.27035,-123.604
105FCA040,105FCA040,41.53926,-123.52673
105FCA056,105FCA056,41.4564,-123.93556
105FCA065,105FCA065,41.84331069,-122.8997348
105FCA068,105FCA068,41.84335,-122.89971
105FCA116,105FCA116,41.31833,-123.04833000000001
105FCA132,105FCA132,41.95472,-122.66083
105FLH087,105FLH087,41.8124,-120.79008
105FS0416,105FS0416,41.61411,-123.28187
105FS0418,105FS0418,NA,NA
105FS0418,R5BIO-418,41.5728015,-123.5446885
105FS0425,105FS0425,41.35799,-123.07511
105FS0428,105FS0428,41.44105,-123.3582
105NC0459,105NC0459,41.9982,-122.66746
105NWC151,105NWC151,41.91713,-120.88105
105PS0028,105PS0028,41.75104,-122.00236
105PS0043,105PS0043,41.72919,-123.23588
105PS0067,105PS0067,41.13969,-123.13928
105PS0069,105PS0069,41.2952,-123.94041
105PS0083,105PS0083,41.36472,-123.18805
105PS0090,105PS0090,41.07997,-123.02911
105PS0092,105PS0092,41.5766,-121.92436
105PS0097,105PS0097,41.73897,-123.35637
105PS0107,105PS0107,41.71232,-123.0186
105PS0129,105PS0129,41.92387,-123.46497
105PS0149,105PS0149,41.241,-123.65545
105PS0154,105PS0154,41.09811,-123.0733
105PS0188,105PS0188,41.71972,-122.34917
105PS0193,105PS0193,41.8294,-123.3849
105PS0195,105PS0195,41.1889,-123.0749
105PS0211,105PS0211,41.42697,-122.9217
105PS0231,105PS0231,41.60865,-122.45671
105PS0259,105PS0259,41.14068,-123.17273
105PS0267,105PS0267,41.88061,-123.12994
105PS0275,105PS0275,41.55215247,-123.070142
105PS0276,105PS0276,41.98998,-120.81077
105PS0295,105PS0295,41.80984337,-122.5946448
105PS0299,105PS0299,41.7866659,-123.1280266
105PS0323,105PS0323,41.16146054,-123.1302242
105PS0468,105PS0468,41.90294,-121.01732
105PS0540,105PS0540,41.62029,-122.06964
105PS0660,105PS0660,41.91571,-120.88863
105PS1148,105PS1148,41.8659,-122.4641
105PS1404,105PS1404,41.92433,-122.38887
105PS1492,105PS1492,41.86231,-120.995
105PS1564,105PS1564,41.68535425,-121.9652843
105PS2018,105PS2018,41.9797,-122.38952
105SED077,105SED077,41.62417,-122.06463
105TMCACC,105TMCACC,41.73691,-123.54855
105WE0579,105WE0579,41.24859,-123.77525
105WE0583,105WE0583,41.70845,-123.13085
105WE0591,105WE0591,41.60326,-123.49999
105WE0592,105WE0592,41.3626,-122.5188
105WE0598,105WE0598,41.24444,-123.32795
