"Stratum","BiostimVar","BIgoal","BIgoal2","Prob","Prob2","Response","BSPretty","DevSet","Est","l95","u95"
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p95","95% rel prob","ASCI_D","Total N","Cal",0.033033033033033,-Inf,0.108108108108108
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p95","95% rel prob","ASCI_D","Total N","Val",0.033033033033033,-Inf,0.108108108108108
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p90","90% rel prob","ASCI_D","Total N","Cal",0.0660660660660661,-Inf,0.138138138138138
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p90","90% rel prob","ASCI_D","Total N","Val",0.0660660660660661,-Inf,0.138138138138138
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p80","80% rel prob","ASCI_D","Total N","Cal",0.135135135135135,0.051051051051051,0.201201201201201
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p80","80% rel prob","ASCI_D","Total N","Val",0.135135135135135,0.051051051051051,0.201201201201201
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p50","50% rel prob","ASCI_D","Total N","Cal",0.363363363363363,0.291291291291291,0.468468468468468
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p50","50% rel prob","ASCI_D","Total N","Val",0.363363363363363,0.291291291291291,0.468468468468468
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p95","95% rel prob","ASCI_D","Total P","Cal",0.0045045045045045,-Inf,0.015015015015015
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p95","95% rel prob","ASCI_D","Total P","Val",0.0045045045045045,-Inf,0.015015015015015
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p90","90% rel prob","ASCI_D","Total P","Cal",0.00900900900900901,-Inf,0.0195195195195195
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p90","90% rel prob","ASCI_D","Total P","Val",0.00900900900900901,-Inf,0.0195195195195195
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p80","80% rel prob","ASCI_D","Total P","Cal",0.0195195195195195,0.00600600600600601,0.0285285285285285
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p80","80% rel prob","ASCI_D","Total P","Val",0.0195195195195195,0.00600600600600601,0.0285285285285285
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p50","50% rel prob","ASCI_D","Total P","Cal",0.051051051051051,0.0405405405405405,0.0675675675675676
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p50","50% rel prob","ASCI_D","Total P","Val",0.051051051051051,0.0405405405405405,0.0675675675675676
"Arid","Chlorophyll_a_mgPerm2","BCG3","BCG3","p95","95% rel prob","ASCI_D","Chl-a","Cal",15.3153153153153,-Inf,57.957957957958
"Arid","Chlorophyll_a_mgPerm2","BCG3","BCG3","p95","95% rel prob","ASCI_D","Chl-a","Val",15.3153153153153,-Inf,57.957957957958
"Arid","Chlorophyll_a_mgPerm2","BCG3","BCG3","p90","90% rel prob","ASCI_D","Chl-a","Cal",31.2312312312312,-Inf,82.5825825825826
"Arid","Chlorophyll_a_mgPerm2","BCG3","BCG3","p90","90% rel prob","ASCI_D","Chl-a","Val",31.2312312312312,-Inf,82.5825825825826
