"MasterID","SampleDate","Replicate","New_Lat","New_Long","PSA2","PSA6c","DevSet","SelectedSample","Nitrogen_Total_mgPerL","Phosphorus_as_P_mgPerL","Chlorophyll_a_mgPerm2","Ash_Free_Dry_Mass_mgPercm2","PCT_MAP","CSCI","ASCI_D","ASCI_H"
"631PS0081","8/28/2012",1,38.32796,-119.5508,"Wet","SN","Val","Selected",0.0341,0.0163,2.67,0.41,0,1.047868562,0.644924252,0.807411887
"631PS0087","8/8/2012",1,38.5236,-119.3363,"Wet","SN","Cal","Selected",0.125,0.052,15,0.488,1,0.999886312,0.828869748,0.932309944
"636PS0086","9/26/2012",1,39.46729,-120.1031,"Wet","SN","Cal","Selected",0.165,0.012,83.2,2.78,61,0.687965701,0.892304282,0.985156315
"106HLCACC","9/23/2013",1,41.01599557,-123.5960935,"Wet","NC","Cal","Selected",0.0846,0.017,10.4,0.603,6,1.091911215,0.829255611,0.845198654
"106PS0206","10/3/2012",1,40.54019584,-122.9350317,"Wet","NC","Cal","Selected",0.0535,0.0105,35.8,0.748,16,1.213743777,0.938312006,0.976184167
"111SF1944","10/5/2010",1,40.21649501,-123.7900959,"Wet","NC","Cal","NotSelected",0.223,0.0205,124.48,8.065,NA,0.829422152,0.854191465,0.828811693
"111SF1944","8/24/2010",1,40.21649501,-123.7900959,"Wet","NC","Cal","Selected",0.0872,0.0189,43.59,2.478,NA,0.75357401,0.928527036,0.911527072
"113GAR023","7/22/2014",1,38.90730023,-123.4823152,"Wet","NC","Cal","Selected",0.0819,0.0289,173,2.08,NA,0.845722138,1.027491389,0.97580621
"113GAR023","8/5/2013",1,38.90730023,-123.4823152,"Wet","NC","Cal","NotSelected",0.0385,0.0298,55.2,4.78,NA,0.646126777,1.126429475,1.028503899
"113GAR042","9/10/2013",1,38.8747124,-123.5248435,"Wet","NC","Val","Selected",0.042,0.0338,141,2.7,NA,0.853870568,0.98174287,0.874431939
"114GV3469","7/5/2011",1,38.46394613,-122.9040555,"Wet","NC","Val","Selected",0,0.204,69.6,6.936,NA,0.833762308,0.723366254,0.673048169
"114GV5331","7/6/2011",1,38.4446767,-122.8877538,"Wet","NC","Cal","Selected",0,0.0748,66.44,5.44,NA,0.972633877,0.667786451,0.566815556
"115SC6093","7/7/2011",1,38.35612748,-122.926292,"Arid","CH","Cal","Selected",0.178,0.0718,81.57,5.244,NA,0.786586162,0.524059822,0.343731909
"404ARRSEQ","6/6/2012",1,34.08482915,-118.9117522,"Arid","SC","Cal","Selected",0.324,0.056,12.6,4.2,29,1.037974589,0.891256228,0.860924182
"907SDB014","5/21/2014",1,32.97329618,-116.6389485,"Arid","SC","Cal","Selected",0.125,0.0071,45,0.723,NA,0.886690351,1.276499304,1.305686457
"308SBCAH1","6/21/2010",1,36.45502877,-121.9226756,"Arid","CH","Cal","Selected",0.236,0.0577,6.35,1.905,8,1.067575411,0.947749098,0.951205191
"308SBCAH1","6/21/2010",2,36.45502877,-121.9226756,"Arid","CH","Cal","Selected",0.236,0.0577,6.35,1.905,8,1.048393956,1.039617721,1.023600639
"402M00005","6/11/2015",1,34.51364,-119.401,"Arid","SC","Cal","Selected",0,0.005,14.294,10.6941,19,0.944961103,0.916640614,0.920324942
"513CCNASC","7/16/2014",1,39.1657558,-122.6197446,"Arid","CH","Cal","Selected",0.193,0.0253,18.9,1.97,0,0.545956785,0.943979008,0.917101245
"632HOS002","9/4/2012",1,38.69772242,-119.8370336,"Wet","SN","Cal","Selected",0.119,0.0211,57.3,0.826,2,0.999670821,0.823767174,0.912340523
"903NP9LWF","5/8/2015",1,33.30855807,-116.7767247,"Arid","SC","Val","Selected",0.176,0.0215,35.2,12.8,41,0.98734485,0.880018123,0.903373225
