"BiostimVar","BSPretty","Stratum","BIgoal","Prob","Prob2","LowestThreshold","LowestValidatedThreshold"
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","BCG3","p50","50% rel prob",5.63063063063063,5.63063063063063
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","BCG3","p80","80% rel prob",1.95195195195195,1.95195195195195
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","BCG3","p90","90% rel prob",0.975975975975976,0.975975975975976
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","BCG3","p95","95% rel prob",0.45045045045045,0.525525525525526
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","BCG4","p50","50% rel prob",15.0900900900901,15.0900900900901
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","BCG4","p80","80% rel prob",6.75675675675676,6.75675675675676
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","BCG4","p90","90% rel prob",3.67867867867868,3.67867867867868
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","BCG4","p95","95% rel prob",1.95195195195195,1.95195195195195
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref01","p50","50% rel prob",9.90990990990991,9.90990990990991
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref01","p80","80% rel prob",4.2042042042042,4.2042042042042
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref01","p90","90% rel prob",2.17717717717718,2.17717717717718
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref01","p95","95% rel prob",1.12612612612613,1.12612612612613
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref10","p50","50% rel prob",7.13213213213213,7.13213213213213
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref10","p80","80% rel prob",2.7027027027027,2.7027027027027
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref10","p90","90% rel prob",1.35135135135135,1.35135135135135
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref10","p95","95% rel prob",0.675675675675676,0.675675675675676
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref30","p50","50% rel prob",5.55555555555556,5.55555555555556
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref30","p80","80% rel prob",1.95195195195195,1.95195195195195
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref30","p90","90% rel prob",0.900900900900901,0.900900900900901
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref30","p95","95% rel prob",0.45045045045045,0.525525525525526
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","BCG3","p50","50% rel prob",4.87987987987988,4.87987987987988
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","BCG3","p80","80% rel prob",1.72672672672673,1.72672672672673
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","BCG3","p90","90% rel prob",0.825825825825826,0.825825825825826
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","BCG3","p95","95% rel prob",0.375375375375375,0.375375375375375
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","BCG4","p50","50% rel prob",12.7627627627628,14.4894894894895
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","BCG4","p80","80% rel prob",6.38138138138138,6.38138138138138
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","BCG4","p90","90% rel prob",3.67867867867868,3.67867867867868
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","BCG4","p95","95% rel prob",2.02702702702703,2.02702702702703
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref01","p50","50% rel prob",9.00900900900901,9.00900900900901
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref01","p80","80% rel prob",4.2042042042042,4.2042042042042
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref01","p90","90% rel prob",2.32732732732733,2.32732732732733
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref01","p95","95% rel prob",1.2012012012012,1.2012012012012
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref10","p50","50% rel prob",6.08108108108108,6.08108108108108
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref10","p80","80% rel prob",2.47747747747748,2.47747747747748
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref10","p90","90% rel prob",1.27627627627628,1.27627627627628
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref10","p95","95% rel prob",0.600600600600601,0.600600600600601
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref30","p50","50% rel prob",4.65465465465465,4.65465465465465
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref30","p80","80% rel prob",1.72672672672673,1.72672672672673
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref30","p90","90% rel prob",0.825825825825826,0.825825825825826
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref30","p95","95% rel prob",0.375375375375375,0.375375375375375
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","BCG3","p50","50% rel prob",4.8048048048048,Inf
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","BCG3","p80","80% rel prob",1.8018018018018,1.8018018018018
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","BCG3","p90","90% rel prob",0.900900900900901,0.900900900900901
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","BCG3","p95","95% rel prob",0.45045045045045,0.825825825825826
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","BCG4","p50","50% rel prob",7.28228228228228,Inf
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","BCG4","p80","80% rel prob",4.5045045045045,Inf
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","BCG4","p90","90% rel prob",3.003003003003,Inf
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","BCG4","p95","95% rel prob",1.95195195195195,Inf
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","Ref01","p50","50% rel prob",7.28228228228228,Inf
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","Ref01","p80","80% rel prob",4.5045045045045,Inf
