masterid,stationname,latitude,longitude,comid,huc,county,psa_lu,RB,ISWP_Source,ISWP2,ISWP3,ISWP2_name,ISWP3_name,Watershed,lbank_do,rbank_do,bottom_do,class_do,stationcode,ag_2011_1k,ag_2011_5k,ag_2011_ws,urban_2011_1k,urban_2011_5k,urban_2011_ws,code_21_2011_1k,code_21_2011_5k,code_21_2011_ws,dev_2011_1k,dev_2011_5k,dev_2011_ws,sampledate,CSCI,ASCI_H,ASCI_D,AFDM_gm2,Chla_ugcm2,TN_mgL,TP_mgL,PCT_MAP,DO_mgL,SpCond_uScm,Temp_C,PCT_RC,PCT_SAFN,RBP_CHN,XSLOPE
101WE1111,Winchuck River SF ~1 mile above Winchuck River.,41.99178,-124.18097,23949493,101,Del Norte,Other,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101WE1111,0,0,0,0,0,0,1.83783784,4.45040215,5.03423741,1.83783784,4.45040215,5.03423741,2002-08-06T07:00:00Z,0.95536223,NA,NA,9.85,0.303,0.349,0.006,NA,NA,NA,NA,NA,NA,NA,NA
102ELCABC,Elk Creek ~0.5mi above Brushy Cr.,41.967803,-123.698208,23945211,102,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102ELCABC,0,0,0,0,0,0,0,0,0,0,0,0,2018-08-07T07:00:00Z,1.07197344,0.904124487821101,0.800118240610479,1.9,0.37,0.54,0.022,NA,NA,NA,NA,NA,NA,NA,NA
102PS0139,Elliott Creek ~1.5mi above Alex Creek,41.99596,-122.95979,23936337,102,Siskiyou,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural,102PS0139,0,0,0,0,0.24361723,0.45701228,1.10132159,2.6343143,2.81824241,1.10132159,2.87793153,3.2752546899999997,2010-08-09T07:00:00Z,1.05829326,0.936489257096928,0.902007211939761,4.91,0.422,0.152,NA,NA,NA,NA,NA,NA,NA,NA,NA
102PS0177,Dunn Creek ~1.4mi above Black Cr.,41.92939,-123.57254,23945257,102,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102PS0177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-08-28T07:00:00Z,1.05994226,1.20092706725004,1.13077924676511,3.3,1.0305,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
102PS0331,NA,41.98886093,-123.1642933,23936111,102,Siskiyou,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102PS0331,0,0,0,0,0,0.02259755,0,0,0.48621185,0,0,0.5088094,2017-07-11T07:00:00Z,1.17235807,1.04887586151018,1.06220867716741,NA,NA,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA
103CDCHHR,Cedar Creek above Howland Hill Rd.,41.78887,-124.07766,22226836,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103CDCHHR,0,0,0,0,0,0,2.312139,1.307827,1.307827,2.312139,1.307827,1.307827,2010-09-14T07:00:00Z,1.12857574,0.721869896287542,0.754046831703398,3.02,0.6194999999999999,0.09145,0.0252,NA,NA,NA,NA,NA,NA,NA,NA
103FC1106,Rowdy Creek ~0.6mi above Rowdy Cr. Rd.,41.93373,-124.1084,22226634,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103FC1106,0,0,0,0,0.07284257,0.18516854,6.1080657799999996,2.69946011,2.02966292,6.1080657799999996,2.77230268,2.2148314599999996,2014-07-15T07:00:00Z,0.9955015,0.847596776782084,0.78029337318322,3.94,0.9710000000000002,0.145,NA,NA,NA,NA,NA,NA,NA,NA,NA
103FCA168,Wilson Creek 4.3 mi above Pacific Ocean,41.65021,-124.09143,22226990,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103FCA168,0,0,0,0,0,0,9.48477752,5.58047417,5.7755868,9.48477752,5.58047417,5.7755868,2009-08-18T07:00:00Z,1.03791977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103FCA168,Wilson Creek 4.3 mi above Pacific Ocean,41.65021,-124.09143,22226990,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103FCA168,0,0,0,0,0,0,9.48477752,5.58047417,5.7755868,9.48477752,5.58047417,5.7755868,2013-07-24T07:00:00Z,1.09868028,0.773036390943949,0.755158257055998,1.97,0.233,0.276,NA,NA,NA,NA,NA,NA,NA,NA,NA
103KLCMSR,Kelly Creek ~0.7mi above MF Smith River,41.85532,-123.85239,0,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural,103KLCMSR,0,0,0,0,0,0,0,0.7518797,0.7518797,0,0.7518797,0.7518797,2010-09-14T07:00:00Z,1.07583128,1.05221817494764,1.01208699569118,1.82,0.244,0.0403,NA,NA,NA,NA,NA,NA,NA,NA,NA
