masterid,sampledate,Alkalinity_as_CaCO3,Oxygen_Dissolved,Salinity,SpecificConductivity,Temperature,Turbidity,pH,TN,TP,AFDM_g_m2,Chl-a_mg_m2,PCT_FAST,PCT_FN,PCT_HP,PCT_MAP,PCT_SAFN,XCMG,XFC_NAT_SWAMP,XSLOPE
000CAT148,2010-08-10T07:00:00Z,42,8.07,0,62.7,11.8,1.38,7.5,0.478,0.0813,6.62,5.89,87,6,0,0,47,68,77.9,15.9
000CAT228,2010-08-10T07:00:00Z,50,8.55,0,86.7,7.8,2.125,7.3,0.185,0.0266,42.06,43.65,22,18,0,0,67,139,68.7,3.5
101WE1111,2002-08-06T07:00:00Z,NA,9.7,NA,65,12.4,0.19,7,0.349,0.006,9.85,3.03,NA,NA,NA,NA,NA,NA,NA,NA
102ELCABC,2018-08-07T07:00:00Z,35,10.61,0,46.2,12.7,0.62,7.9,0.54,0.022,1.9,3.7,76,0,0,0,3,176,36.6,5.2
102PS0139,2010-08-09T07:00:00Z,80,9.7,0.1,151,13.3,0.83,8.6,0.152,0.0212,4.91,4.22,96,0,0,3,8,132,34.3,3.4
102PS0177,2012-08-28T07:00:00Z,85,10.18,0.1,130.6,9.8,0.34,9.29,0,0.016133333333333333,3.3,10.305,62,0,0,21,1,105,61,13.2
102PS0331,2017-07-11T07:00:00Z,58,9.31,0,96.6,13.9,0.41,8.5,0.111,NA,NA,NA,59,0,0,1,2,128,30.2,3.1
103CDCHHR,2010-09-14T07:00:00Z,48,10,0,78.2,12.7,0.75,8.1,0.09145,0.02425,3.02,6.195,63,1,1,0,7,190,22.1,4
103FC1106,2014-07-15T07:00:00Z,NA,NA,NA,92,NA,NA,7.335,0.145,0.0219,3.94,9.71,NA,NA,NA,NA,NA,NA,NA,NA
103FCA168,2013-07-24T07:00:00Z,NA,NA,NA,64,NA,0.3,7.59,0.276,0.0209,1.97,2.33,NA,NA,NA,NA,NA,NA,NA,NA
103KLCMSR,2010-09-14T07:00:00Z,100,9.9,0.1,160.9,12.5,0.28,8.4,0.0403,0.0152,1.82,2.44,77,0,0,4,0,171,62.9,11
103PS0217,2013-09-10T07:00:00Z,35,9.15,0,72.3,13.6,NA,8.6,0.199,0.03045,NA,4.55,44,0,0,0,3,195,36.5,3.1
103PS0281,2015-07-22T07:00:00Z,80,9.2,0.1,154.8,17.9,0.63,8.4,0.0378,0.0243,3.82,12.5,70,0,0,7,0,141,49.2,5.6
103PS0345,2018-08-28T07:00:00Z,82,8.5,0.09,166.4,16.421,0.07,8.28,1.7,0.045,7.48,2.43,82,0,0,28,10,232,79.1,1.3
103RDCBCC,2011-07-21T07:00:00Z,38.45,9.52,0,96.3,13.6,0.83,7.92,0.131,0.02975,2.31,7.32,68,0,0,2,0,192,53,2.4
103STCNSR,2011-08-09T07:00:00Z,74.25,7.64,0.1,152.2,20.4,0,8.5,0.0457,0.0167,4.42,2.85,74,0,0,23,0,60,71.6,4.3
103WE0585,2000-09-15T07:00:00Z,NA,7.1,NA,138,17.3,NA,NA,NA,NA,10.83,43.33,NA,NA,NA,NA,NA,NA,NA,NA
103WE0817,2001-06-14T07:00:00Z,NA,10.3,NA,130.5,19.3,0.19,8.31,0.048,0.002,11.36,15.15,NA,NA,NA,NA,NA,NA,NA,NA
103WE0817,2001-06-18T07:00:00Z,NA,NA,NA,123,NA,0.18,8.28,0.073,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
