"Variable","Pearson's r"
"bdh_ave",-0.181133840005581
"cao_mean",0.135292621790041
"elev_range",-0.130907340126917
"kfct_ave",-0.408246790954815
"logwsa",-0.384081450410387
"lprem_mean",-0.0370906620629463
"maxwd_ws",0.248744466846271
"mgo_mean",0.0603951291805769
"minp_ws",0.0457874428937461
"new_lat",0.267083966143117
"new_long",-0.0431126321925184
"p_mean",0.531231974105977
"ppt_00_09",0.681312240038203
"prmh_ave",0.373249583623955
"s_mean",-0.296953557385775
"site_elev",0.627770292187065
"sumave_p",0.272571280303367
"temp_00_09",-0.68668952306933
"tmax_ws",-0.169766973765777
"ucs_mean",-0.00781434854365764
