"Index","Contrast","Difference","L95","U95","p-value"
"CSCI","RFI-P",-0.07,-0.11,-0.03,0
"CSCI","Southern-Northern",0.06,0.02,0.1,0
"CSCI","RFI:Northern-P:Northern",-0.14,-0.21,-0.06,0
"CSCI","P:Southern-P:Northern",0.03,-0.06,0.11,0.83
"CSCI","RFI:Southern-RFI:Northern",0.13,0.04,0.21,0
"CSCI","RFI:Southern-P:Southern",-0.04,-0.13,0.06,0.73
"ASCI_D","RFI-P",0.02,-0.02,0.06,0.36
"ASCI_D","Southern-Northern",-0.04,-0.08,0,0.03
"ASCI_D","RFI:Northern-P:Northern",0.05,-0.04,0.14,0.46
"ASCI_D","P:Southern-P:Northern",-0.07,-0.16,0.01,0.13
"ASCI_D","RFI:Southern-RFI:Northern",-0.06,-0.15,0.04,0.37
"ASCI_D","RFI:Southern-P:Southern",0.07,-0.03,0.16,0.27
"ASCI_H","RFI-P",0.02,-0.02,0.06,0.33
"ASCI_H","Southern-Northern",-0.02,-0.06,0.02,0.32
"ASCI_H","RFI:Northern-P:Northern",0.02,-0.06,0.11,0.91
"ASCI_H","P:Southern-P:Northern",-0.05,-0.13,0.04,0.52
"ASCI_H","RFI:Southern-RFI:Northern",-0.01,-0.1,0.08,0.98
"ASCI_H","RFI:Southern-P:Southern",0.05,-0.04,0.15,0.42
