"Region","RB","Flow status","Index","n","Mean","SD","q30_e","q10_e","q01_e","q30_n","q10_n","q01_n"
"Northern","Regional Board 2","RFI","ASCI_D",21,1.00006787552222,0.0943909210274867,0.966296812,0.89868843,0.793292761,0.950569228140424,0.87910104290625,0.780481757061172
"Northern","Regional Board 2","RFI","ASCI_H",21,0.978148367665079,0.100443960299513,0.951998136,0.88296573,0.7372572704,0.925475503385589,0.849424253093739,0.744480774162065
"Northern","Regional Board 2","RFI","CSCI",67,0.816848071793532,0.17297577844686,0.7297980566,0.5621251477,0.4888214,0.726139484889926,0.595170692123663,0.41444623734312
"Northern","Regional Board 3","RFI","ASCI_D",2,0.947601431875,0.0096806635958341,0.944863326725,0.942125221575,0.9408930742575,0.94252488692199,0.935195162288248,0.925080840699527
"Northern","Regional Board 3","RFI","ASCI_H",2,0.9291977515,0.0182962083580795,0.9240228023,0.9188478531,0.91651912596,0.91960321045641,0.905750217035173,0.886634406083173
"Northern","Regional Board 3","RFI","CSCI",2,0.7475631393,0.0214027367614897,0.74150953118,0.73545592306,0.732731799406,0.73633953316892,0.720134428496374,0.697772928136253
"Northern","Regional Board 5","RFI","ASCI_D",9,1.11132600562037,0.0985258285481968,1.06807618681667,0.986433833866667,0.947385866986667,1.05965901061471,0.98506007579785,0.88212065383916
"Northern","Regional Board 5","RFI","ASCI_H",9,1.04064445873148,0.0805948914849627,1.01919132898333,0.9289923441,0.91518440766,0.998380456315118,0.93735794937403,0.853152704266886
"Northern","Regional Board 5","RFI","CSCI",10,0.627224996395238,0.126424245948281,0.550256774766667,0.4777978889,0.42690236429,0.560928057001232,0.465205806077423,0.333118220606238
"Southern","Regional Board 7","RFI","ASCI_D",10,1.040396295785,0.0706198808790899,1.00393912968,0.9530585484,0.93434573724,1.00336319404462,0.949893276885829,0.876109886036912
"Southern","Regional Board 7","RFI","ASCI_H",10,1.01599879014167,0.0627309351960981,0.9851623468,0.9652188147,0.90905870157,0.983102655562178,0.93560586193303,0.87006481241163
"Southern","Regional Board 7","RFI","CSCI",10,0.877699886365,0.0875979797766651,0.868987045415,0.7399352685,0.71742837765,0.831763460857928,0.76543855824367,0.673916512341282
"Southern","Regional Board 9","RFI","ASCI_D",35,0.971233860484558,0.153563260962111,0.924282805133333,0.7820224882,0.59605518437,0.890705207702908,0.77443462298843,0.613992294814572
"Southern","Regional Board 9","RFI","ASCI_H",35,0.981668306449388,0.16143258154733,0.9094264864,0.7679564348,0.58918430745,0.897012977918185,0.7747841288375,0.606119963565831
"Southern","Regional Board 9","RFI","CSCI",43,0.959386374457522,0.097564661865325,0.90577345,0.8598031928,0.7547435556,0.908223415753158,0.834352229302185,0.732417030745609
"Southern","Regional Board 9","SFI","ASCI_D",7,1.02361369664286,0.136489321247186,0.9872125673,0.8433704035,0.82699549615,0.95203862660166,0.848695593318405,0.706092054330187
"Southern","Regional Board 9","SFI","ASCI_H",7,0.997751912071429,0.10398607025549,0.9772643346,0.8683638598,0.83383407658,0.943221563514955,0.864488400940674,0.755844138602708
"Southern","Regional Board 9","SFI","CSCI",7,0.856110029928571,0.0719425345900457,0.8007413836,0.7732241508,0.76609241508,0.818383327904036,0.763911962095452,0.688746667531909
"Northern","Regional Board 2, 3, 5","RFI","ASCI_D",32,1.02808007188438,0.105913276181773,0.97389189094,0.905979159416667,0.804308095,0.972539095552065,0.892346746981666,0.781688947006206
"Northern","Regional Board 2, 3, 5","RFI","ASCI_H",32,0.992665979767188,0.0962655351513849,0.94509402795,0.88832718455,0.74931180377,0.942184283777687,0.869296732485941,0.76871885672436
"Northern","Regional Board 2, 3, 5","RFI","CSCI",79,0.791091101933152,0.176715997523931,0.687868878571429,0.543113942866667,0.45970028732,0.69842114222789,0.564620438649583,0.37998821678435
"Southern","Regional Board 7, 9","RFI","ASCI_D",45,0.986603290551323,0.141731661841544,0.9405462408,0.806128732666667,0.60653901492,0.912279134414655,0.804966857431054,0.656886140341972
"Southern","Regional Board 7, 9","RFI","ASCI_H",45,0.98929730282545,0.145433485805453,0.9242900114,0.8539524711,0.5941070542,0.913031908304153,0.802916791408864,0.650968422307586
"Southern","Regional Board 7, 9","RFI","CSCI",53,0.943973829534404,0.100287065613753,0.89260027918,0.853045813661538,0.71495446844,0.891383240908567,0.815450783593225,0.710671227650055
"Southern","Regional Board 7, 9","SFI","ASCI_D",8,1.0318357959375,0.128486670919883,1.0258180191,0.84640279375,0.827298735175,0.964457319830964,0.86717350166851,0.732931102200445
"Southern","Regional Board 7, 9","SFI","ASCI_H",8,1.0055414888125,0.098761297486241,1.0010413609,0.8747582641,0.83447351701,0.953751013775004,0.878973793403792,0.775788354367868
"Southern","Regional Board 7, 9","SFI","CSCI",8,0.8488546670625,0.0696954865901538,0.7988904143,0.7745448426,0.76622448426,0.812306318161187,0.759536307111496,0.686718720003254
"All regions","Regional Board 2, 3, 5, 7, 9","RFI","ASCI_D",77,1.00384039448194,0.128952489231341,0.95518435655,0.8441368068,0.64008727268,0.936217643014049,0.838581130026644,0.703852045306338
"All regions","Regional Board 2, 3, 5, 7, 9","RFI","ASCI_H",77,0.990697272463575,0.12660186349949,0.9402343522,0.8776781604,0.6098598438,0.924307190334649,0.828450456094939,0.696177296461927
"All regions","Regional Board 2, 3, 5, 7, 9","RFI","CSCI",132,0.852475833470019,0.168064980446652,0.764348083,0.61322024945,0.47474193897,0.764342471555528,0.63709189466539,0.461498223507235
"All regions","Regional Board 5, 7, 9","SFI","ASCI_D",9,1.04437881405556,0.125941126166768,1.0428499224,0.849435184,0.8276019742,0.978335222922674,0.882978766650083,0.751395942943185
"All regions","Regional Board 5, 7, 9","SFI","ASCI_H",9,1.01198220138889,0.0943817495729177,1.0098802966,0.8811526684,0.83511295744,0.962488363522569,0.891027122464878,0.792417418921677
"All regions","Regional Board 5, 7, 9","SFI","CSCI",9,0.802790135722222,0.15279969788273,0.7863310016,0.699094777,0.4607559742,0.722661895810885,0.606969443685868,0.447324883398652
