"Stream class","Index","StandardUsageSupported","Biointegrity goal","Total N","Total P","Chl-a","AFDM","% cover"
"Wadeable streams (logistic regression, Mazor et al. 2022)","ASCI_D","Yes",0.86,0.33033033033033,0.0540540540540541,46.8468468468468,2.47747747747748,26.7267267267267
"Wadeable streams (logistic regression, Mazor et al. 2022)","ASCI_H","Yes",0.86,0.24024024024024,0.0540540540540541,44.1441441441441,2.47747747747748,31.1311311311311
"Wadeable streams (logistic regression, Mazor et al. 2022)","CSCI","Yes",0.79,1.18918918918919,0.193693693693694,48.948948948949,4.12912912912913,30.7307307307307
"Wadeable streams (SCAM, present study)","ASCI_D","Yes",0.86,0.348348348348348,0.0435435435435435,19.5195195195195,1.52152152152152,13.2132132132132
"Wadeable streams (SCAM, present study)","ASCI_H","Yes",0.86,0.453453453453453,0.0555555555555556,24.3243243243243,1.76176176176176,26.8268268268268
"Wadeable streams (SCAM, present study)","CSCI","Yes",0.79,1.02102102102102,0.102102102102102,51.0510510510511,3.72372372372372,44.7447447447448
"CVF","ASCI_D","Yes",1.02,NA,NA,NA,NA,NA
"CVF","ASCI_H","Yes",0.94,0.0540540540540541,0.00900900900900901,2.4024024024024,0.36036036036036,NA
"CVF","CSCI","No",0.67,2.10810810810811,0.202702702702703,116.216216216216,13.973973973974,82.4824824824825
"SB0","ASCI_D","No",0.77,0.861861861861862,0.106606606606607,54.954954954955,4.04404404404404,56.1561561561562
"SB0","ASCI_H","No",0.79,0.855855855855856,0.103603603603604,49.2492492492493,3.56356356356356,66.4664664664665
"SB0","CSCI","Yes",0.78,1.0990990990991,0.10960960960961,54.954954954955,4.12412412412412,48.4484484484485
"SB1","ASCI_D","Yes",0.85,0.402402402402402,0.051051051051051,23.1231231231231,1.76176176176176,18.018018018018
"SB1","ASCI_H","Yes",0.86,0.453453453453453,0.0555555555555556,24.3243243243243,1.76176176176176,26.8268268268268
"SB1","CSCI","Yes",1,NA,NA,NA,NA,NA
"SB2","ASCI_D","No",0.77,0.861861861861862,0.106606606606607,54.954954954955,4.04404404404404,56.1561561561562
"SB2","ASCI_H","No",0.76,1.04504504504505,0.127627627627628,63.0630630630631,4.76476476476476,100
"SB2","CSCI","Yes",0.75,1.33933933933934,0.132132132132132,67.8678678678679,5.60560560560561,62.6626626626627
"HB","ASCI_D","Yes",0.88,0.246246246246246,0.0315315315315315,13.2132132132132,1.08108108108108,3.7037037037037
"HB","ASCI_H","Yes",0.87,0.402402402402402,0.0495495495495495,21.3213213213213,1.56156156156156,23.023023023023
"HB","CSCI","No",0.67,2.10810810810811,0.202702702702703,116.216216216216,13.973973973974,82.4824824824825
"CC","CSCI","No",0.45,3,1.5,300,40,98.0980980980981
