"Class","Class_fullname","Approach","Response_model_form","Response_model_index","Response_model_goal","Response_model_detail","Details","Stringency","Indicator_Type","Indicator","Threshold_value","Flag"
"Wadeable streams","Wadeable streams","Reference","","",,"","30th percentile of reference values","High","Biointegrity","CSCI",0.92,""
"Wadeable streams","Wadeable streams","Reference","","",,"","10th percentile of reference values","Intermediate","Biointegrity","CSCI",0.79,""
"Wadeable streams","Wadeable streams","Reference","","",,"","1st percentile of reference values","Low","Biointegrity","CSCI",0.63,""
"RFI-N","Intermittent northern California","Reference","","",,"","30th percentile of reference values","High","Biointegrity","CSCI",0.74,""
"RFI-N","Intermittent northern California","Reference","","",,"","10th percentile of reference values","Intermediate","Biointegrity","CSCI",0.61,""
"RFI-N","Intermittent northern California","Reference","","",,"","1st percentile of reference values","Low","Biointegrity","CSCI",0.44,""
"RFI-S","Intermittent southern California","Reference","","",,"","30th percentile of reference values","High","Biointegrity","CSCI",0.89,""
"RFI-S","Intermittent southern California","Reference","","",,"","10th percentile of reference values","Intermediate","Biointegrity","CSCI",0.82,"Biointegrity goal is higher than reference."
"RFI-S","Intermittent southern California","Reference","","",,"","1st percentile of reference values","Low","Biointegrity","CSCI",0.71,"Biointegrity goal is higher than reference."
"CVF","Central Valley Floor","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","CSCI",0.85,""
"CVF","Central Valley Floor","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.67,""
"CVF","Central Valley Floor","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","CSCI",0.52,""
"HB","Hard bottom","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","CSCI",0.74,""
"HB","Hard bottom","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.67,""
"HB","Hard bottom","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","CSCI",0.55,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","CSCI",0.96,"Biointegrity goal is higher than reference."
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.75,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","CSCI",0.64,"Biointegrity goal is higher than reference."
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","CSCI",1.1,"Biointegrity goal is higher than reference."
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","CSCI",1,"Biointegrity goal is higher than reference."
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","CSCI",0.81,"Biointegrity goal is higher than reference."
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","CSCI",0.99,"Biointegrity goal is higher than reference."
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.78,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","CSCI",0.66,"Biointegrity goal is higher than reference."
"CC","Constructed channel","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","CSCI",0.53,""
"CC","Constructed channel","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.45,""
"CC","Constructed channel","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","CSCI",0.37,""
"SB0_CVF","Soft bottom engineered channel, no hardened sides (Central Valley Floor)","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","CSCI",0.51,""
"SB0_CVF","Soft bottom engineered channel, no hardened sides (Central Valley Floor)","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.47,""
"SB0_CVF","Soft bottom engineered channel, no hardened sides (Central Valley Floor)","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","CSCI",0.38,""
"HB_CVF","Hard bottom (Central Valley Floor)","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","CSCI",0.57,""
"HB_CVF","Hard bottom (Central Valley Floor)","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.49,""
"HB_CVF","Hard bottom (Central Valley Floor)","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","CSCI",0.39,""
"CC_CVF","Constructed channel (Central Valley Floor)","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","CSCI",0.53,""
"CC_CVF","Constructed channel (Central Valley Floor)","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.45,""
"CC_CVF","Constructed channel (Central Valley Floor)","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","CSCI",0.37,""
"Wadeable streams","Wadeable streams","Reference","","",,"","30th percentile of reference values","High","Biointegrity","ASCI_D",0.94,""
"Wadeable streams","Wadeable streams","Reference","","",,"","10th percentile of reference values","Intermediate","Biointegrity","ASCI_D",0.86,""
"Wadeable streams","Wadeable streams","Reference","","",,"","1st percentile of reference values","Low","Biointegrity","ASCI_D",0.75,""
"RFI-N","Intermittent northern California","Reference","","",,"","30th percentile of reference values","High","Biointegrity","ASCI_D",0.99,"Biointegrity goal is higher than reference."
"RFI-N","Intermittent northern California","Reference","","",,"","10th percentile of reference values","Intermediate","Biointegrity","ASCI_D",0.91,"Biointegrity goal is higher than reference."
"RFI-N","Intermittent northern California","Reference","","",,"","1st percentile of reference values","Low","Biointegrity","ASCI_D",0.79,"Biointegrity goal is higher than reference."
"RFI-S","Intermittent southern California","Reference","","",,"","30th percentile of reference values","High","Biointegrity","ASCI_D",0.91,""
"RFI-S","Intermittent southern California","Reference","","",,"","10th percentile of reference values","Intermediate","Biointegrity","ASCI_D",0.8,""
"RFI-S","Intermittent southern California","Reference","","",,"","1st percentile of reference values","Low","Biointegrity","ASCI_D",0.66,""
"CVF","Central Valley Floor","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","ASCI_D",1.13,"Biointegrity goal is higher than reference."
"CVF","Central Valley Floor","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","ASCI_D",1.02,"Biointegrity goal is higher than reference."
"CVF","Central Valley Floor","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","ASCI_D",0.92,"Biointegrity goal is higher than reference."
"HB","Hard bottom","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","ASCI_D",1.05,"Biointegrity goal is higher than reference."
"HB","Hard bottom","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","ASCI_D",0.88,"Biointegrity goal is higher than reference."
"HB","Hard bottom","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","ASCI_D",0.74,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","ASCI_D",0.93,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","ASCI_D",0.77,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","ASCI_D",0.64,""
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","ASCI_D",1.01,"Biointegrity goal is higher than reference."
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","ASCI_D",0.85,""
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","ASCI_D",0.68,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","ASCI_D",1.01,"Biointegrity goal is higher than reference."
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","ASCI_D",0.77,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","ASCI_D",0.68,""
"CC","Constructed channel","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","ASCI_D",,"Insufficient data"
"CC","Constructed channel","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","ASCI_D",,"Insufficient data"
"CC","Constructed channel","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","ASCI_D",,"Insufficient data"
"SB0_CVF","Soft bottom engineered channel, no hardened sides (Central Valley Floor)","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","ASCI_D",0.84,""
"SB0_CVF","Soft bottom engineered channel, no hardened sides (Central Valley Floor)","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","ASCI_D",0.83,""
"SB0_CVF","Soft bottom engineered channel, no hardened sides (Central Valley Floor)","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","ASCI_D",0.8,"Biointegrity goal is higher than reference."
"HB_CVF","Hard bottom (Central Valley Floor)","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","ASCI_D",1.05,"Biointegrity goal is higher than reference."
"HB_CVF","Hard bottom (Central Valley Floor)","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","ASCI_D",1.03,"Biointegrity goal is higher than reference."
"HB_CVF","Hard bottom (Central Valley Floor)","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","ASCI_D",0.96,"Biointegrity goal is higher than reference."
"CC_CVF","Constructed channel (Central Valley Floor)","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","ASCI_D",,"Insufficient data"
"CC_CVF","Constructed channel (Central Valley Floor)","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","ASCI_D",,"Insufficient data"
"CC_CVF","Constructed channel (Central Valley Floor)","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","ASCI_D",,"Insufficient data"
"Wadeable streams","Wadeable streams","Reference","","",,"","30th percentile of reference values","High","Biointegrity","ASCI_H",0.94,""
"Wadeable streams","Wadeable streams","Reference","","",,"","10th percentile of reference values","Intermediate","Biointegrity","ASCI_H",0.86,""
"Wadeable streams","Wadeable streams","Reference","","",,"","1st percentile of reference values","Low","Biointegrity","ASCI_H",0.75,""
"RFI-N","Intermittent northern California","Reference","","",,"","30th percentile of reference values","High","Biointegrity","ASCI_H",0.97,"Biointegrity goal is higher than reference."
"RFI-N","Intermittent northern California","Reference","","",,"","10th percentile of reference values","Intermediate","Biointegrity","ASCI_H",0.9,"Biointegrity goal is higher than reference."
"RFI-N","Intermittent northern California","Reference","","",,"","1st percentile of reference values","Low","Biointegrity","ASCI_H",0.81,"Biointegrity goal is higher than reference."
"RFI-S","Intermittent southern California","Reference","","",,"","30th percentile of reference values","High","Biointegrity","ASCI_H",0.91,""
"RFI-S","Intermittent southern California","Reference","","",,"","10th percentile of reference values","Intermediate","Biointegrity","ASCI_H",0.8,""
"RFI-S","Intermittent southern California","Reference","","",,"","1st percentile of reference values","Low","Biointegrity","ASCI_H",0.65,""
"CVF","Central Valley Floor","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","ASCI_H",1.05,"Biointegrity goal is higher than reference."
"CVF","Central Valley Floor","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","ASCI_H",0.94,"Biointegrity goal is higher than reference."
"CVF","Central Valley Floor","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","ASCI_H",0.8,"Biointegrity goal is higher than reference."
"HB","Hard bottom","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","ASCI_H",1.02,"Biointegrity goal is higher than reference."
"HB","Hard bottom","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","ASCI_H",0.87,"Biointegrity goal is higher than reference."
"HB","Hard bottom","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","ASCI_H",0.74,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","ASCI_H",0.88,""
