"Ecoregion","Class","# sites"
"Chaparral","Hard bottom",16
"Chaparral","Natural",17
"Chaparral","Soft bottom-0 hard sides",29
"Chaparral","Soft bottom-1 hard side",9
"Chaparral","Soft bottom-2 hard sides",7
"Central Valley","Hard bottom",11
"Central Valley","Natural",4
"Central Valley","Soft bottom-0 hard sides",13
"Central Valley","Soft bottom-1 hard side",1
"South Coast","Hard bottom",208
"South Coast","Natural",664
"South Coast","Soft bottom-0 hard sides",56
"South Coast","Soft bottom-1 hard side",50
"South Coast","Soft bottom-2 hard sides",64
"Deserts Modoc","Natural",3
"North Coast","Natural",6
"Sierra Nevada","Natural",5
