"Eutrophication indicator","Index","Stratum","AIC","AIC_null","Deviance explained","R^2","F","p","n"
"Total N","ASCI_D","California",-648,-271.5,37.9,0.378,483.4,5.66178065770786e-97,794
"Total N","ASCI_H","California",-661.1,-263.1,39.7,0.396,244.1,1.33927101872991e-99,794
"Total N","CSCI","California",-318.6,-16.4,22.8,0.227,119,7.53912651906638e-67,1186
"Total P","ASCI_D","California",-546.6,-271.5,29.8,0.296,99.4,8.47526875036468e-63,794
"Total P","ASCI_H","California",-557.5,-263.1,31.5,0.312,115.5,1.3817802120685e-69,794
"Total P","CSCI","California",-338.3,-16.4,23.9,0.238,371.7,5.65146768697902e-77,1186
"Chl-a","ASCI_D","California",-424.9,-271.5,18,0.178,86.7,1.07989094939373e-35,794
"Chl-a","ASCI_H","California",-419.1,-263.1,18.2,0.18,86.1,7.4088254389345e-36,794
"Chl-a","CSCI","California",-201.3,-16.4,14.8,0.146,63.6,2.47296058451152e-40,1186
"AFDM","ASCI_D","California",-409.4,-271.5,16.5,0.162,51.3,4.34836808612959e-31,794
"AFDM","ASCI_H","California",-410.4,-263.1,17.5,0.172,54.6,3.76303162938159e-33,794
"AFDM","CSCI","California",-162,-16.4,12,0.118,45.1,5.07793380451931e-31,1186
"% cover","ASCI_D","California",-308.9,-271.4,5.4,0.053,40.4,3.48542528046364e-10,708
"% cover","ASCI_H","California",-307.5,-283.8,4,0.036,9.5,3.44766759364776e-06,708
"% cover","CSCI","California",-108.4,-51.6,8.1,0.077,15.5,1.13283243006072e-12,756
"Total N","ASCI_D","Arid",-343.4,-100.6,37.6,0.375,311.4,5.68862326483816e-62,519
"Total N","ASCI_D","Wet",-336.3,-335,1.6,0.01,2.2,0.117325883929646,275
"Total N","ASCI_H","Arid",-340.1,-87.4,39,0.388,150.1,1.9165867505734e-61,519
"Total N","ASCI_H","Wet",-362.4,-353.7,4.3,0.037,6.1,0.00269288171227211,275
"Total N","CSCI","Arid",-104.4,69,21.8,0.215,68.2,3.20559700343349e-39,728
"Total N","CSCI","Wet",-269,-235.8,7.8,0.074,15.7,4.4390153251889e-08,458
"Total P","ASCI_D","Arid",-260.3,-100.6,27.3,0.269,56.6,1.17089386443142e-35,519
"Total P","ASCI_D","Wet",-359.9,-335,10.9,0.098,8.5,3.23780921642164e-06,275
"Total P","ASCI_H","Arid",-262.8,-87.4,29.4,0.291,68.7,1.0810221511915e-40,519
"Total P","ASCI_H","Wet",-370.4,-353.7,8.1,0.07,6.5,0.000106503995840473,275
"Total P","CSCI","Arid",-130.4,69,24.2,0.241,231.3,6.21960012413736e-48,728
"Total P","CSCI","Wet",-258.1,-235.8,5.7,0.052,9.9,6.3876845280064e-06,458
"Chl-a","ASCI_D","Arid",-191.2,-100.6,16.7,0.164,51.6,1.75594862709744e-21,519
"Chl-a","ASCI_D","Wet",-341.6,-335,3.4,0.029,5.6,0.00667091671839744,275
"Chl-a","ASCI_H","Arid",-169.3,-87.4,15.1,0.148,47.9,2.78107126375842e-18,519
"Chl-a","ASCI_H","Wet",-375.9,-353.7,9.1,0.084,13.6,2.29832830411902e-06,275
"Chl-a","CSCI","Arid",-27.2,69,13,0.127,34.9,1.36804152763258e-21,728
"Chl-a","CSCI","Wet",-258.5,-235.8,5.9,0.054,9.8,5.09224769354539e-06,458
"AFDM","ASCI_D","Arid",-163.1,-100.6,12.1,0.117,25,4.21439968112528e-14,519
"AFDM","ASCI_D","Wet",-341.8,-335,3.7,0.031,4.7,0.00841058632019714,275
"AFDM","ASCI_H","Arid",-147,-87.4,11.7,0.112,23.6,1.13148427446839e-13,519
"AFDM","ASCI_H","Wet",-374.7,-353.7,8.6,0.08,11.1,1.06323969089751e-05,275
"AFDM","CSCI","Arid",24.7,69,6.5,0.062,18.4,4.05635567582997e-10,728
"AFDM","CSCI","Wet",-279.8,-235.8,9.9,0.096,22.5,1.26731240943967e-10,458
"% cover","ASCI_D","Arid",-128,-109.8,4.3,0.041,20.4,7.76827214482358e-06,461
"% cover","ASCI_D","Wet",-298.4,-298.4,0,0,NA,NA,247
"% cover","ASCI_H","Arid",-119.1,-109.5,2.9,0.025,6.9,0.00113739510286683,461
"% cover","ASCI_H","Wet",-325.2,-325.2,0,0,NA,NA,247
"% cover","CSCI","Arid",-23.4,-4.3,5.1,0.045,7,4.2793238116111e-05,481
"% cover","CSCI","Wet",-212.6,-193,8.2,0.076,12.2,8.34772512784944e-06,275
"Total N","ASCI_D","CH",-152.3,-109.7,28.1,0.27,21.5,4.91631687496409e-10,142
"Total N","ASCI_D","CV",-20,-21.3,4.4,0.004,0.7,0.462367801555206,39
"Total N","ASCI_D","DM",-57.9,-58.7,2.1,0.004,1.2,0.278964785337353,57
"Total N","ASCI_D","NC",-146,-141.3,7.1,0.055,3.6,0.0226716001303147,120
"Total N","ASCI_D","SC",-140,-6.2,38.3,0.381,173.3,3.38330851659231e-34,281
"Total N","ASCI_D","SN",-187.1,-189.8,0.1,-0.008,0.1,0.851407203750047,155
"Total N","ASCI_H","CH",-136.3,-84.1,32.6,0.317,29.1,2.37152291816074e-12,142
"Total N","ASCI_H","CV",-16.1,-18.3,4.9,-0.006,0.7,0.511142131910897,39
"Total N","ASCI_H","DM",-60.4,-60.5,3.4,0.016,1.9,0.172915485108147,57
"Total N","ASCI_H","NC",-127.6,-122.2,7,0.057,4.4,0.014514952999331,120
"Total N","ASCI_H","SC",-158,-8.9,42.2,0.417,79.5,1.53668752524914e-35,281
"Total N","ASCI_H","SN",-237.9,-237.2,2.4,0.014,2.2,0.113260620768048,155
"Total N","CSCI","CH",-60.2,-6.4,23.5,0.226,21.2,1.58638410148191e-12,220
"Total N","CSCI","CV",-42.7,-38.9,12.7,0.095,3.9,0.025354359267777,57
"Total N","CSCI","DM",-38.5,-28.5,16.3,0.15,12.5,0.000672143714852916,68
"Total N","CSCI","NC",-134,-109.8,11.1,0.103,11.6,3.3913121849437e-06,241
"Total N","CSCI","SC",-126.1,15.6,31.9,0.314,55.1,1.14245317998649e-32,383
"Total N","CSCI","SN",-133.8,-125.1,5.9,0.049,5.4,0.00297314174343489,217
"Total P","ASCI_D","CH",-137.5,-109.7,21.4,0.196,10,9.48097862043863e-07,142
"Total P","ASCI_D","CV",-18.8,-21.3,1.7,-0.026,0.4,0.682053122106289,39
"Total P","ASCI_D","DM",-57.9,-58.7,3,0.008,1,0.321839767763267,57
"Total P","ASCI_D","NC",-149.1,-141.3,10.7,0.085,4.4,0.00493397239077948,120
"Total P","ASCI_D","SC",-117.5,-6.2,34,0.333,47.8,1.32716545632905e-26,281
"Total P","ASCI_D","SN",-201.9,-189.8,11.5,0.095,5.3,0.000830037963559676,155
"Total P","ASCI_H","CH",-121.9,-84.1,26.8,0.251,13.8,6.08372598027477e-09,142
"Total P","ASCI_H","CV",-17,-18.3,6.8,0.016,1.3,0.283273967394503,39
"Total P","ASCI_H","DM",-64.8,-60.5,12.8,0.1,3.8,0.0269348303678434,57
"Total P","ASCI_H","NC",-127.8,-122.2,7.6,0.061,4.3,0.0131679973145432,120
"Total P","ASCI_H","SC",-111.8,-8.9,31.6,0.311,64.3,4.63122936737273e-25,281
"Total P","ASCI_H","SN",-244.7,-237.2,5.9,0.053,9.4,0.00242294928852203,155
"Total P","CSCI","CH",-31.9,-6.4,12.5,0.117,13.3,1.38835086724027e-06,220
"Total P","CSCI","CV",-43.1,-38.9,13.4,0.102,4.2,0.0203742399382091,57
"Total P","CSCI","DM",-44.1,-28.5,26.4,0.234,7.8,0.000165906371405982,68
"Total P","CSCI","NC",-137,-109.8,12.1,0.114,16.4,1.95302000117865e-07,241
"Total P","CSCI","SC",-122.4,15.6,30.6,0.304,168.1,3.4411419647479e-34,383
"Total P","CSCI","SN",-124.2,-125.1,0.5,0,1.1,0.301584917386753,217
"Chl-a","ASCI_D","CH",-112.8,-109.7,3.6,0.029,5.2,0.0245508700646632,142
"Chl-a","ASCI_D","CV",-21.3,-21.3,0,0,NA,NA,39
"Chl-a","ASCI_D","DM",-58.7,-58.7,0,0,NA,NA,57
"Chl-a","ASCI_D","NC",-141.5,-141.3,2.9,0.015,1.9,0.154759948938776,120
"Chl-a","ASCI_D","SC",-51.2,-6.2,15.4,0.151,50.6,7.58916688820854e-12,281
"Chl-a","ASCI_D","SN",-193.5,-189.8,3.7,0.03,5.6,0.0185845154801009,155
"Chl-a","ASCI_H","CH",-88.7,-84.1,4.8,0.04,5.8,0.0111681340890162,142
"Chl-a","ASCI_H","CV",-18.3,-18.3,0,0,NA,NA,39
"Chl-a","ASCI_H","DM",-60.5,-60.5,0,0,NA,NA,57
"Chl-a","ASCI_H","NC",-134.6,-122.2,12.8,0.113,8.6,0.000327165298966961,120
"Chl-a","ASCI_H","SC",-52.7,-8.9,15,0.147,49.3,1.40661462040741e-11,281
"Chl-a","ASCI_H","SN",-243,-237.2,4.9,0.042,7.6,0.00622824256806191,155
"Chl-a","CSCI","CH",-35.4,-6.4,14.1,0.132,13.4,3.48514793405275e-07,220
"Chl-a","CSCI","CV",-41.4,-38.9,10.6,0.074,2.6,0.0716436894926591,57
"Chl-a","CSCI","DM",-28.5,-28.5,0,0,NA,NA,68
"Chl-a","CSCI","NC",-115.8,-109.8,3.3,0.029,8.1,0.00472789587342344,241
"Chl-a","CSCI","SC",-79.4,15.6,23.1,0.225,34.4,3.23095556318302e-21,383
"Chl-a","CSCI","SN",-146.6,-125.1,10.9,0.102,12.1,6.8854854165288e-06,217
"AFDM","ASCI_D","CH",-119.9,-109.7,9.2,0.081,6.8,0.001361146619873,142
"AFDM","ASCI_D","CV",-23.8,-21.3,10.9,0.085,4.5,0.0399125970431996,39
"AFDM","ASCI_D","DM",-58.7,-58.7,0,0,NA,NA,57
"AFDM","ASCI_D","NC",-140.4,-141.3,1.7,0.005,1.3,0.266172249948728,120
"AFDM","ASCI_D","SC",-21.4,-6.2,6.5,0.059,8.2,0.000185163381086585,281
"AFDM","ASCI_D","SN",-198.5,-189.8,7.5,0.065,6.1,0.00292869963485151,155
"AFDM","ASCI_H","CH",-99.8,-84.1,13,0.117,10.4,6.16833355400239e-05,142
"AFDM","ASCI_H","CV",-20.2,-18.3,14.1,0.093,2.9,0.0648751013191225,39
"AFDM","ASCI_H","DM",-60.5,-60.5,0,0,NA,NA,57
"AFDM","ASCI_H","NC",-129.5,-122.2,8.7,0.073,4.9,0.00753803226842065,120
"AFDM","ASCI_H","SC",-28,-8.9,7.9,0.072,9.6,2.7633317086904e-05,281
"AFDM","ASCI_H","SN",-248.1,-237.2,8.8,0.078,7.2,0.000978707305883621,155
"AFDM","CSCI","CH",-26.4,-6.4,10.2,0.094,10.7,1.89359350117269e-05,220
"AFDM","CSCI","CV",-42.7,-38.9,9.8,0.081,5.7,0.0186825963276833,57
"AFDM","CSCI","DM",-30.1,-28.5,6.8,0.046,2.2,0.123096229114891,68
"AFDM","CSCI","NC",-119.3,-109.8,4.7,0.043,11.3,0.000813763048998567,241
"AFDM","CSCI","SC",-21,15.6,10.4,0.098,13.5,9.67132488709733e-09,383
"AFDM","CSCI","SN",-164.9,-125.1,18.2,0.175,22.1,7.62480914557926e-10,217
"% cover","ASCI_D","CH",-106.1,-106.1,0,0,NA,NA,132
"% cover","ASCI_D","CV",-19.7,-19.7,0,0,NA,NA,38
"% cover","ASCI_D","DM",-55.4,-55.4,0,0,NA,NA,54
"% cover","ASCI_D","NC",-126.1,-126.1,0,0,NA,NA,106
"% cover","ASCI_D","SC",-32.9,-16.9,8.1,0.073,10.3,4.91145653025242e-05,237
"% cover","ASCI_D","SN",-166.9,-168.5,0.3,-0.004,0.4,0.52327819008702,141
"% cover","ASCI_H","CH",-93.5,-93.5,0,0,NA,NA,132
"% cover","ASCI_H","CV",-17.2,-17.2,0,0,NA,NA,38
"% cover","ASCI_H","DM",-56.3,-56.3,0,0,NA,NA,54
"% cover","ASCI_H","NC",-108.8,-111.3,0.2,-0.011,0.2,0.753887851795371,106
"% cover","ASCI_H","SC",-33,-23.3,5.6,0.048,7,0.00115246498386626,237
"% cover","ASCI_H","SN",-217.1,-217.1,0,0,NA,NA,141
"% cover","CSCI","CH",-26,-18.5,8.3,0.068,4.9,0.00541891532002414,135
"% cover","CSCI","CV",-15.2,-16.7,1.2,-0.016,0.4,0.514730411881347,38
"% cover","CSCI","DM",-13.5,-13.5,0,0,NA,NA,55
"% cover","CSCI","NC",-111.3,-87.9,24.1,0.22,10.4,3.78421209248258e-06,105
